,title,company_name,location,pay,summary_bullets,post_url
0,Officer - Customer Insights,Myntra.com,"Bengaluru, Karnataka",NA,•This team has an enterprise wide vision and works with all functions (Supply…,https://www.indeed.com/viewjob?jk=ca378f82ea835949
1,Cambridge Lower Secondary Math Teacher,NA,"Dehra Dun, Uttarakhand",NA,NA,https://www.indeed.com/viewjob?jk=a83eaaa9f2398c51
2,Customer Service Assistant,NA,Remote,NA,•Maintain and input client information into system software.,https://www.indeed.com/viewjob?jk=790628bd5a85f2e1
3,DDV IT_MC_Campus Hire FY22- FTE_Associate 2,PwC,"Bengaluru, Karnataka",NA,"•It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be…",https://www.indeed.com/viewjob?jk=a71f6fc7172c2d50
4,Solar Panel Installer,NA,"Jodhpur, Rajasthan",NA,•Installation and commissioning of solar power plant.,https://www.indeed.com/viewjob?jk=493551ad933318d9
5,Operation Associate-1 Sharechat (Urdu - Emotions),sharechat,"Temporarily Remote in Bengaluru, Karnataka",NA,•Ensure maximum engagement by the content creators on…,https://www.indeed.com/viewjob?jk=6f766041f7dddf29
6,Customer Service Associate,NA,Remote,NA,•For this role we believe you have experience of customer focus and customer service.,https://www.indeed.com/viewjob?jk=9cda839c32d4b0a1
7,Process Associate,Broadridge,"Bengaluru, Karnataka",NA,"•If you’re passionate about developing your career, while helping others along the way, come join the Broadridge team.",https://www.indeed.com/viewjob?jk=4a181ae84debfcfd
8,DDV IT_MC_Campus Hire FY22- FTE_Senoir Associate,PwC,"Bengaluru, Karnataka",NA,"•It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be…",https://www.indeed.com/viewjob?jk=ff7cb3fdeba39db6
9,Customer Support Executive - Jeet 11,sharechat,"Temporarily Remote in Bengaluru, Karnataka",NA,•Experience of working in a customer service/support…,https://www.indeed.com/viewjob?jk=b8204efcceeabb5f
